"filename", "language", "XML", "JSON", "C#", "Log", "Markdown", "CSV", "comment", "blank", "total"
"d:\Unity\LOFBR\Assets\Scripts\CollisionHandlers\RegenAura.cs", "C#", 0, 0, 64, 0, 0, 0, 0, 2, 66
"d:\Unity\LOFBR\Assets\Scripts\CollisionHandlers\StackingHandler.cs", "C#", 0, 0, 21, 0, 0, 0, 0, 1, 22
"d:\Unity\LOFBR\Assets\Scripts\Factories\BulletFactory.cs", "C#", 0, 0, 119, 0, 0, 0, 0, 1, 120
"d:\Unity\LOFBR\Assets\Scripts\Factories\CharacterFactory.cs", "C#", 0, 0, 63, 0, 0, 0, 0, 1, 64
"d:\Unity\LOFBR\Assets\Scripts\GameController\CharacterTracker.cs", "C#", 0, 0, 267, 0, 0, 0, 0, 1, 268
"d:\Unity\LOFBR\Assets\Scripts\GameController\MasterScript.cs", "C#", 0, 0, 203, 0, 0, 0, 0, 0, 203
"d:\Unity\LOFBR\Assets\Scripts\GameController\MoveAllEnemy.cs", "C#", 0, 0, 21, 0, 0, 0, 0, 2, 23
"d:\Unity\LOFBR\Assets\Scripts\GameController\MoveAllFriendly.cs", "C#", 0, 0, 21, 0, 0, 0, 0, 2, 23
"d:\Unity\LOFBR\Assets\Scripts\Input\PlayerInputRouter.cs", "C#", 0, 0, 119, 0, 0, 0, 0, 12, 131
"d:\Unity\LOFBR\Assets\Scripts\MenuControls\PauseGame.cs", "C#", 0, 0, 55, 0, 0, 0, 0, 2, 57
"d:\Unity\LOFBR\Assets\Scripts\MenuControls\SetSkillSet.cs", "C#", 0, 0, 18, 0, 0, 0, 0, 1, 19
"d:\Unity\LOFBR\Assets\Scripts\MenuControls\changeScene.cs", "C#", 0, 0, 21, 0, 0, 0, 2, 4, 27
"d:\Unity\LOFBR\Assets\Scripts\UI\CameraController.cs", "C#", 0, 0, 19, 0, 0, 0, 0, 2, 21
"d:\Unity\LOFBR\Assets\Scripts\UI\CameraRotationMenu.cs", "C#", 0, 0, 17, 0, 0, 0, 0, 2, 19
"d:\Unity\LOFBR\Assets\Scripts\UI\HUD\DisplayMana.cs", "C#", 0, 0, 24, 0, 0, 0, 0, 2, 26
"d:\Unity\LOFBR\Assets\Scripts\UI\HUD\ExpDisplay.cs", "C#", 0, 0, 28, 0, 0, 0, 0, 2, 30
"d:\Unity\LOFBR\Assets\Scripts\UI\HUD\HUD.cs", "C#", 0, 0, 43, 0, 0, 0, 0, 2, 45
"d:\Unity\LOFBR\Assets\Scripts\UI\HUD\LookAtCamera.cs", "C#", 0, 0, 16, 0, 0, 0, 0, 2, 18
"d:\Unity\LOFBR\Assets\Scripts\UI\HUD\Reload.cs", "C#", 0, 0, 70, 0, 0, 0, 0, 1, 71
"d:\Unity\LOFBR\Assets\Scripts\UI\HUD\healthdisplay.cs", "C#", 0, 0, 29, 0, 0, 0, 0, 1, 30
"d:\Unity\LOFBR\Assets\Scripts\Utilities\Damage.cs", "C#", 0, 0, 58, 0, 0, 0, 0, 1, 59
"d:\Unity\LOFBR\Assets\Scripts\Utilities\Health.cs", "C#", 0, 0, 149, 0, 0, 0, 0, 2, 151
"d:\Unity\LOFBR\Assets\Scripts\Utilities\Level.cs", "C#", 0, 0, 43, 0, 0, 0, 0, 2, 45
"d:\Unity\LOFBR\Assets\Scripts\Utilities\Mana.cs", "C#", 0, 0, 62, 0, 0, 0, 0, 2, 64
"d:\Unity\LOFBR\Assets\Scripts\Visuals\MaterialLibrary.cs", "C#", 0, 0, 20, 0, 0, 0, 0, 2, 22
"d:\Unity\LOFBR\Assets\TeamMaterials.cs", "C#", 0, 0, 9, 0, 0, 0, 0, 2, 11
"d:\Unity\LOFBR\IAPResolver.csproj", "XML", 1188, 0, 0, 0, 0, 0, 1, 1, 1190
"d:\Unity\LOFBR\LoFBR.slnx", "XML", 71, 0, 0, 0, 0, 0, 0, 1, 72
"d:\Unity\LOFBR\Logs\AssetImportWorker0-prev.log", "Log", 0, 0, 0, 277, 0, 0, 0, 13, 290
"d:\Unity\LOFBR\Logs\AssetImportWorker0.log", "Log", 0, 0, 0, 234, 0, 0, 0, 6, 240
"d:\Unity\LOFBR\Logs\AssetImportWorker1-prev.log", "Log", 0, 0, 0, 235, 0, 0, 0, 7, 242
"d:\Unity\LOFBR\Logs\AssetImportWorker1.log", "Log", 0, 0, 0, 227, 0, 0, 0, 5, 232
"d:\Unity\LOFBR\Logs\AssetImportWorker2-prev.log", "Log", 0, 0, 0, 2043, 0, 0, 0, 61, 2104
"d:\Unity\LOFBR\Logs\AssetImportWorker2.log", "Log", 0, 0, 0, 151548, 0, 0, 0, 154, 151702
"d:\Unity\LOFBR\Logs\AssetImportWorker3-prev.log", "Log", 0, 0, 0, 1910, 0, 0, 0, 42, 1952
"d:\Unity\LOFBR\Logs\AssetImportWorker3.log", "Log", 0, 0, 0, 151338, 0, 0, 0, 124, 151462
"d:\Unity\LOFBR\Logs\Packages-Update.log", "Log", 0, 0, 0, 80, 0, 0, 0, 13, 93
"d:\Unity\LOFBR\Logs\shadercompiler-AssetImportWorker0-0.log", "Log", 0, 0, 0, 4, 0, 0, 0, 3, 7
"d:\Unity\LOFBR\Logs\shadercompiler-AssetImportWorker1-0.log", "Log", 0, 0, 0, 4, 0, 0, 0, 3, 7
"d:\Unity\LOFBR\Logs\shadercompiler-AssetImportWorker2-0.log", "Log", 0, 0, 0, 110, 0, 0, 0, 110, 220
"d:\Unity\LOFBR\Logs\shadercompiler-AssetImportWorker3-0.log", "Log", 0, 0, 0, 110, 0, 0, 0, 110, 220
"d:\Unity\LOFBR\Logs\shadercompiler-UnityShaderCompiler.exe-0.log", "Log", 0, 0, 0, 2, 0, 0, 0, 2, 4
"d:\Unity\LOFBR\NavMeshComponents.csproj", "XML", 1149, 0, 0, 0, 0, 0, 1, 1, 1151
"d:\Unity\LOFBR\NavMeshComponentsEditor.csproj", "XML", 1184, 0, 0, 0, 0, 0, 1, 1, 1186
"d:\Unity\LOFBR\Packages\manifest.json", "JSON", 0, 53, 0, 0, 0, 0, 0, 1, 54
"d:\Unity\LOFBR\Packages\packages-lock.json", "JSON", 0, 454, 0, 0, 0, 0, 0, 1, 455
"d:\Unity\LOFBR\Purchasing.Common.csproj", "XML", 1166, 0, 0, 0, 0, 0, 1, 1, 1168
"d:\Unity\LOFBR\Unity.2D.Sprite.AIIntegration.Editor.csproj", "XML", 1187, 0, 0, 0, 0, 0, 1, 1, 1189
"d:\Unity\LOFBR\Unity.2D.Sprite.Editor.csproj", "XML", 1246, 0, 0, 0, 0, 0, 1, 1, 1248
"d:\Unity\LOFBR\Unity.2D.Tilemap.Editor.csproj", "XML", 1308, 0, 0, 0, 0, 0, 1, 1, 1310
"d:\Unity\LOFBR\Unity.AI.Navigation.Editor.ConversionSystem.csproj", "XML", 1200, 0, 0, 0, 0, 0, 1, 1, 1202
"d:\Unity\LOFBR\Unity.AI.Navigation.Editor.csproj", "XML", 1198, 0, 0, 0, 0, 0, 1, 1, 1200
"d:\Unity\LOFBR\Unity.AI.Navigation.Updater.csproj", "XML", 1196, 0, 0, 0, 0, 0, 1, 1, 1198
"d:\Unity\LOFBR\Unity.AI.Navigation.csproj", "XML", 1167, 0, 0, 0, 0, 0, 1, 1, 1169
"d:\Unity\LOFBR\Unity.Analytics.DataPrivacy.csproj", "XML", 1163, 0, 0, 0, 0, 0, 1, 1, 1165
"d:\Unity\LOFBR\Unity.CollabProxy.Editor.csproj", "XML", 1191, 0, 0, 0, 0, 0, 1, 1, 1193
"d:\Unity\LOFBR\Unity.InputSystem.DocCodeSamples.csproj", "XML", 1138, 0, 0, 0, 0, 0, 1, 1, 1140
"d:\Unity\LOFBR\Unity.InputSystem.ForUI.csproj", "XML", 1164, 0, 0, 0, 0, 0, 1, 1, 1166
"d:\Unity\LOFBR\Unity.InputSystem.TestFramework.csproj", "XML", 1109, 0, 0, 0, 0, 0, 1, 1, 1111
"d:\Unity\LOFBR\Unity.InputSystem.csproj", "XML", 1573, 0, 0, 0, 0, 0, 1, 1, 1575
"d:\Unity\LOFBR\Unity.InternalAPIEngineBridge.004.csproj", "XML", 1161, 0, 0, 0, 0, 0, 1, 1, 1163
"d:\Unity\LOFBR\Unity.Multiplayer.Center.Common.csproj", "XML", 1166, 0, 0, 0, 0, 0, 1, 1, 1168
"d:\Unity\LOFBR\Unity.Multiplayer.Center.Editor.csproj", "XML", 1230, 0, 0, 0, 0, 0, 1, 1, 1232
"d:\Unity\LOFBR\Unity.PlasticSCM.Editor.Entities.csproj", "XML", 1189, 0, 0, 0, 0, 0, 1, 1, 1191
"d:\Unity\LOFBR\Unity.PlasticSCM.Editor.csproj", "XML", 1648, 0, 0, 0, 0, 0, 1, 1, 1650
"d:\Unity\LOFBR\Unity.Rider.Editor.csproj", "XML", 1181, 0, 0, 0, 0, 0, 1, 1, 1183
"d:\Unity\LOFBR\Unity.Services.Analytics.Editor.csproj", "XML", 1201, 0, 0, 0, 0, 0, 1, 1, 1203
"d:\Unity\LOFBR\Unity.Services.Analytics.csproj", "XML", 1142, 0, 0, 0, 0, 0, 1, 1, 1144
"d:\Unity\LOFBR\Unity.Services.Core.Analytics.csproj", "XML", 1163, 0, 0, 0, 0, 0, 1, 1, 1165
"d:\Unity\LOFBR\Unity.Services.Core.Components.csproj", "XML", 1167, 0, 0, 0, 0, 0, 1, 1, 1169
"d:\Unity\LOFBR\Unity.Services.Core.Configuration.Editor.csproj", "XML", 1198, 0, 0, 0, 0, 0, 1, 1, 1200
"d:\Unity\LOFBR\Unity.Services.Core.Configuration.csproj", "XML", 1174, 0, 0, 0, 0, 0, 1, 1, 1176
"d:\Unity\LOFBR\Unity.Services.Core.Device.csproj", "XML", 1169, 0, 0, 0, 0, 0, 1, 1, 1171
"d:\Unity\LOFBR\Unity.Services.Core.Editor.csproj", "XML", 1350, 0, 0, 0, 0, 0, 1, 1, 1352
"d:\Unity\LOFBR\Unity.Services.Core.Environments.Editor.csproj", "XML", 1283, 0, 0, 0, 0, 0, 1, 1, 1285
"d:\Unity\LOFBR\Unity.Services.Core.Environments.Internal.csproj", "XML", 1163, 0, 0, 0, 0, 0, 1, 1, 1165
"d:\Unity\LOFBR\Unity.Services.Core.Environments.csproj", "XML", 1164, 0, 0, 0, 0, 0, 1, 1, 1166
"d:\Unity\LOFBR\Unity.Services.Core.Internal.csproj", "XML", 1242, 0, 0, 0, 0, 0, 1, 1, 1244
"d:\Unity\LOFBR\Unity.Services.Core.Networking.csproj", "XML", 1165, 0, 0, 0, 0, 0, 1, 1, 1167
"d:\Unity\LOFBR\Unity.Services.Core.Registration.csproj", "XML", 1171, 0, 0, 0, 0, 0, 1, 1, 1173
"d:\Unity\LOFBR\Unity.Services.Core.Scheduler.csproj", "XML", 1169, 0, 0, 0, 0, 0, 1, 1, 1171
"d:\Unity\LOFBR\Unity.Services.Core.Telemetry.csproj", "XML", 1171, 0, 0, 0, 0, 0, 1, 1, 1173
"d:\Unity\LOFBR\Unity.Services.Core.Threading.csproj", "XML", 1164, 0, 0, 0, 0, 0, 1, 1, 1166
"d:\Unity\LOFBR\Unity.Services.Core.csproj", "XML", 1176, 0, 0, 0, 0, 0, 1, 1, 1178
"d:\Unity\LOFBR\Unity.TextMeshPro.Editor.csproj", "XML", 1242, 0, 0, 0, 0, 0, 1, 1, 1244
"d:\Unity\LOFBR\Unity.TextMeshPro.csproj", "XML", 1222, 0, 0, 0, 0, 0, 1, 1, 1224
"d:\Unity\LOFBR\Unity.Timeline.Editor.csproj", "XML", 1467, 0, 0, 0, 0, 0, 1, 1, 1469
"d:\Unity\LOFBR\Unity.Timeline.csproj", "XML", 1238, 0, 0, 0, 0, 0, 1, 1, 1240
"d:\Unity\LOFBR\Unity.VisualStudio.Editor.csproj", "XML", 1185, 0, 0, 0, 0, 0, 1, 1, 1187
"d:\Unity\LOFBR\UnityEditor.Purchasing.csproj", "XML", 1250, 0, 0, 0, 0, 0, 1, 1, 1252
"d:\Unity\LOFBR\UnityEditor.SpatialTracking.csproj", "XML", 1188, 0, 0, 0, 0, 0, 1, 1, 1190
"d:\Unity\LOFBR\UnityEditor.TestRunner.csproj", "XML", 1374, 0, 0, 0, 0, 0, 1, 1, 1376
"d:\Unity\LOFBR\UnityEditor.UI.Analytics.csproj", "XML", 1190, 0, 0, 0, 0, 0, 1, 1, 1192
"d:\Unity\LOFBR\UnityEditor.UI.csproj", "XML", 1223, 0, 0, 0, 0, 0, 1, 1, 1225
"d:\Unity\LOFBR\UnityEditor.XR.LegacyInputHelpers.csproj", "XML", 1195, 0, 0, 0, 0, 0, 1, 1, 1197
"d:\Unity\LOFBR\UnityEngine.Advertisements.DevX.Editor.csproj", "XML", 1153, 0, 0, 0, 0, 0, 1, 1, 1155
"d:\Unity\LOFBR\UnityEngine.Advertisements.Editor.csproj", "XML", 1201, 0, 0, 0, 0, 0, 1, 1, 1203
"d:\Unity\LOFBR\UnityEngine.Advertisements.csproj", "XML", 1215, 0, 0, 0, 0, 0, 1, 1, 1217
"d:\Unity\LOFBR\UnityEngine.Purchasing.AppleCore.csproj", "XML", 1163, 0, 0, 0, 0, 0, 1, 1, 1165
"d:\Unity\LOFBR\UnityEngine.Purchasing.AppleMacosStub.csproj", "XML", 1164, 0, 0, 0, 0, 0, 1, 1, 1166
"d:\Unity\LOFBR\UnityEngine.Purchasing.AppleStub.csproj", "XML", 1164, 0, 0, 0, 0, 0, 1, 1, 1166
"d:\Unity\LOFBR\UnityEngine.Purchasing.Codeless.csproj", "XML", 1172, 0, 0, 0, 0, 0, 1, 1, 1174
"d:\Unity\LOFBR\UnityEngine.Purchasing.SecurityCore.csproj", "XML", 1164, 0, 0, 0, 0, 0, 1, 1, 1166
"d:\Unity\LOFBR\UnityEngine.Purchasing.SecurityStub.csproj", "XML", 1166, 0, 0, 0, 0, 0, 1, 1, 1168
"d:\Unity\LOFBR\UnityEngine.Purchasing.Stores.csproj", "XML", 1260, 0, 0, 0, 0, 0, 1, 1, 1262
"d:\Unity\LOFBR\UnityEngine.Purchasing.WinRTCore.csproj", "XML", 1163, 0, 0, 0, 0, 0, 1, 1, 1165
"d:\Unity\LOFBR\UnityEngine.Purchasing.WinRTStub.csproj", "XML", 1163, 0, 0, 0, 0, 0, 1, 1, 1165
"d:\Unity\LOFBR\UnityEngine.Purchasing.csproj", "XML", 1241, 0, 0, 0, 0, 0, 1, 1, 1243
"d:\Unity\LOFBR\UnityEngine.SpatialTracking.csproj", "XML", 1163, 0, 0, 0, 0, 0, 1, 1, 1165
"d:\Unity\LOFBR\UnityEngine.TestRunner.csproj", "XML", 1239, 0, 0, 0, 0, 0, 1, 1, 1241
"d:\Unity\LOFBR\UnityEngine.UI.csproj", "XML", 1244, 0, 0, 0, 0, 0, 1, 1, 1246
"d:\Unity\LOFBR\UnityEngine.XR.LegacyInputHelpers.csproj", "XML", 1165, 0, 0, 0, 0, 0, 1, 1, 1167
"d:\Unity\LoFBR\Assets\Scripts\.VSCodeCounter\2022-09-23_22-51-57\details.md", "Markdown", 0, 0, 0, 0, -85, 0, 0, -6, -91
"d:\Unity\LoFBR\Assets\Scripts\.VSCodeCounter\2022-09-23_22-51-57\diff-details.md", "Markdown", 0, 0, 0, 0, -9, 0, 0, -6, -15
